Vila,Value Stream,Squad,Referência,Velocidade - Sem time,Velocidade - Histórias sem time,"Velocidade - Épico iniciado, com status Identificado",Velocidade - épico pode mover para Em execução,Velocidade - épico pode mover para Executado,Velocidade - épico pode mover para Em Medição,Velocidade - História pode mover para Em Desenvolvimento,Velocidade - História pode mover para Desenvolvido,Velocidade - História pode mover para Testada,Velocidade - História pode mover para Homologada,Eficiencia - Geral sem APF preenchido,Eficiencia - Potential sem APF preenchido,Eficiencia - Activated sem APF preenchido,Qualidade - Defeitos sem time,Qualidade - Issues BURN sem time preenchido,Qualidade - Defeitos sem fase preenchido,Qualidade - Historias sem APF,Qualidade - Defeitos sem horas logadas,Qualidade - Burn sem log de horas
OPEN BANKING,FORNECIMENTO DE DADOS,VS_FD-EMPRESTIMO,False,10,32,0,0,4,0,0,0,0,0,6,4,2,144,884,0,6,0,28
OPEN BANKING,CONSENTIMENTO,VS_CON-CONSENTIMENTO_FORNECIMENTO,False,1,30,0,0,0,0,0,0,0,0,32,27,0,164,608,0,32,0,1
OPEN BANKING,CONSENTIMENTO,VS_CON-CONSENTIMENTO_RECEBIMENTO,False,1,30,0,0,0,0,1,2,5,12,6,3,0,164,608,0,6,1,11
OPEN BANKING,CONSENTIMENTO,VS_CON-AUTENTICACAO_PF,False,1,30,1,1,0,0,2,0,0,17,3,1,0,164,608,0,3,11,85
OPEN BANKING,CONSENTIMENTO,VS_CON-AUTENTICACAO_PJ,False,1,30,0,0,0,0,0,0,0,10,10,5,0,164,608,0,10,30,51
OPEN BANKING,CONSENTIMENTO,VS_CON-GESTAO_CONSENT_PF_MOBILE,False,1,30,4,4,0,0,0,3,3,3,8,0,3,164,608,0,8,10,15
PISTA DE ARQUITETURA,TÉCNICA,ESTRUTURAIS TÉCNICOS,False,0,0,2,1,3,6,1,0,0,0,0,0,0,0,0,0,0,7,41
PISTA DE ARQUITETURA,NEGOCIAÇÃO,SONIC,False,0,0,2,2,0,0,0,1,0,10,6,2,0,4,8,0,6,0,0
SALA DE TECNOLOGIA,PIPELINE,VS_PIP-PIPELINE_4,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2
SALA DE TECNOLOGIA,PIPELINE,VS_PIP-PIPELINE_5,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10
SALA DE TECNOLOGIA,SETUP,VS_SET-ANALYTICS,False,0,0,7,5,3,3,0,0,0,0,8,0,4,1,0,0,8,0,0
SALA DE TECNOLOGIA,SETUP,VS_SET-SEGURANCA,False,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,13,0,1
SALA DE TECNOLOGIA,SETUP,VS_SET-FERRAMENTAS_CI_CD,False,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
SALA DE TECNOLOGIA,SETUP,VS_SET-GOVERNANCA_DEVSECOPS,False,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
